      F2ppm           F1ppm     Intensity       
     1  4.3019           59.0919     13611155.56
     2  4.1316           60.8977     13644654.63
     3  3.1027           55.1049     12112019.75
     4  2.8216           39.6649      5033307.25
     5  2.5759           39.6646      3190179.00
     6  2.1995           33.1973     18611133.75
     7  1.6130           27.8900      5928025.38
     8  1.5161           24.3497     11572164.13
     9  1.4654           27.8900      5399733.13
    10  1.3315           27.8899      9084274.81
