	F2ppm	F1ppm	Intensity
1	5.5756	119.5563	1284763.34
2	5.3892	116.1517	1632350.22
3	3.6425	70.4034	515301.56
4	2.4734	40.6217	429593.53
5	2.2934	40.8370	373243.03
6	2.0948	39.0428	511396.31
7	1.9706	46.2198	568823.91
8	1.9272	27.8467	450140.75
9	1.8931	32.0093	316010.00
10	1.8993	38.3969	357011.44
11	1.8775	54.4015	641170.59
12	1.7255	21.1003	224383.03
13	1.6944	22.7510	433443.78
14	1.5889	21.1003	348064.28
15	1.5175	27.9185	1018529.69
16	1.4989	31.9376	202234.97
17	1.3996	23.1099	263649.09
18	1.3903	36.0285	892302.13
19	1.3438	23.4687	723574.41
20	1.3531	35.8849	1035417.41
21	1.3189	27.9902	254062.47
22	1.3034	38.3969	541192.78
23	1.2351	38.9710	272018.59
24	1.2103	55.9087	516071.69
25	1.1513	24.0429	375186.63
26	1.1420	39.1863	810179.81
27	1.0955	39.3299	937303.19
28	1.0148	36.0285	534642.28
29	0.9403	18.6602	1643042.81
30	0.9496	16.2918	584414.22
31	0.8720	22.6793	7227282.63
32	0.6238	11.7703	382229.31
