 PEAKLIST_VERSION 1.1
 PEAKLIST_DIMENSION 2
 2008-10-06T142518  nmrsu
 DUopttopspin USERnmrsugranada.bio.ucalgary.ca NAMEMet_Tool_2D_DB_DMSO EXPNO202 PROCNO1
 Manually picked peaks

          F2     F1           F2ppm           F1ppm       Intensity       Annotation

     1  1182.0   283.0            3.7775           70.7233     36174299.75
     2  1210.3   297.0            3.6111           66.0662     34893992.00
     3  1267.0   390.0            3.2790           35.1879     40020038.25
     4  1284.0   284.0            3.1792           70.3788     16298149.50
     5  1394.1   344.0            2.5333           50.4612     43740204.75
     6  1448.0   377.0            2.2174           39.5020      5647868.00
     7  1461.0   418.0            2.1411           25.8927     14550093.00
     8  1474.9   398.0            2.0593           32.5303     12473746.00
     9  1489.2   372.0            1.9757           41.1608     13662055.00
    10  1497.0   398.0            1.9299           32.5316     11829086.50
    11  1521.0   391.5            1.7891           34.6827      6987105.00
    12  1523.0   357.7            1.7772           45.9104     10365034.75
    13  1531.9   414.0            1.7251           27.2122      6322954.00
    14  1546.5   390.0            1.6395           35.1933      7310057.75
    15  1546.1   428.0            1.6418           22.5762      9409645.75
    16  1548.9   401.3            1.6251           31.4247      8053816.50
    17  1579.3   377.0            1.4468           39.5013      8353772.25
    28  1583.0   405.0            1.4252           30.2193     10724308.25
    19  1589.0   410.4            1.3902           28.4130      2641386.50
    20  1593.6   391.5            1.3634           34.6830      4671156.25
    21  1599.0   377.4            1.3312           39.3663     14285554.25
    22  1609.0   405.0            1.2729           30.2203      8193115.75
    23  1610.4   390.6            1.2648           34.9762     10833698.25
    24  1616.2   371.0            1.2308           41.4990     11828982.00
    25  1626.5   401.3            1.1700           31.4242      6468180.00
    26  1631.3   414.0            1.1421           27.2112      7005539.00
    27  1663.5   428.0            0.9532           22.5773      6285373.50
    28  1669.4   445.0            0.9183           16.9346     31793470.00
    29  1683.9   390.0            0.8336           35.1921      9402434.25
    30  1688.3   428.5            0.8077           22.4233     83578972.75
    31  1727.1   459.0            0.5799           12.2900      7042898.50

