             F2ppm         F1ppm       Intensity 
     1        5.6185          123.3303     21631107.88
     2        5.2557          105.9029      9657025.00
     3        4.8449           95.2801     11910124.63
     4        4.6686           80.3569      8015537.75
     5        4.4339           73.3763      9912939.25
     6        4.1766           67.7334      1933120.88
     7        4.0534           67.7334      1967885.88
     8        3.2910           66.4082      3739172.63
     9        3.1738           66.4082      3834795.38
    10        2.8564           50.8043      6182846.50
    11        2.5043           39.5008     34819949.63
    12        2.4812           45.4878      3965656.75
    13        2.4515           33.2055      5614903.63
    14        2.4097           31.8810      3027591.88
    15        2.2393           38.8529      3081508.38
    16        2.2516           31.8802      7080878.75
    17        2.1691           33.2051      2495976.88
    18        2.1116           35.0074      3738864.50
    19        2.1060           22.9119      2096959.13
    20        2.0109           25.4303      2167586.50
    21        1.9241           31.5440      2364367.13
    22        1.8486           30.7167      2693429.00
    23        1.8118           24.2460      2403950.13
    24        1.7876           29.2147      2429507.00
    25        1.7128           37.1952      2380276.38
    26        1.6936           22.9136      2425725.50
    27        1.6371           36.1968      3086888.50
    28        1.6128           35.0062      3911484.50
    29        1.4879           39.5003      2745656.63
    30        1.4489           51.9470      2239235.00
    31        1.4366           48.1504      2524980.38
    32        1.4393           25.4300      1122455.88
    33        1.3787           38.8543      2397735.50
    34        1.3470           24.2454      1532805.75
    35        1.3219           29.2157      1194053.00
    36        1.2197           17.9311      9241635.50
    37        1.1793           18.1270     10646065.13
    38        1.1419           31.5443      1496867.88
    39        1.0734           56.1116      3274922.75
    40        1.0619           30.7175      1599268.00
    41        0.9914           55.7838      4156216.25
