        F2ppm           F1ppm     Intensity       
     1   7.0442          125.8385     23972032.75
     2   6.5044          112.5508     22662412.00
     3   6.4282          114.5693     34714358.00
     4   3.5084           79.7119     17400160.25
     5   2.6917           28.8942     22559347.38
     6   2.5045           39.5221     18680160.13
     7   2.2234           25.9053      6570984.63
     8   2.0558           43.5016     11745880.00
     9   1.8822           29.7000      7163116.25
    10   1.8299           36.5344      6652083.63
    11   1.7657           26.9007      7793786.13
    12   1.5834           22.5886      8621650.63
    13   1.3728           29.6982      5384140.88
    14   1.3026           25.9066      3606325.63
    15   1.2786           38.5280      4708974.63
    16   1.2405           22.5871      4623159.25
    17   1.2168           26.8996      4340398.00
    18   1.1617           36.5345      8332694.38
    19   1.1011           49.4821      8767749.25
    20   0.6626           11.0143      3600599.13
