 PEAKLIST_VERSION 1.1
 PEAKLIST_DIMENSION 2
 2006-05-19T171121  nmrsu
 DUopttopspin USERnmrsugranada.bio.ucalgary.ca NAMEMet_Tool_2D_DB EXPNO369 PROCNO1
 Manually picked peaks

          F2     F1           F2ppm           F1ppm       Intensity       Annotation

     1   956.0   219.9            5.1900           95.0689       649468.00
     2  1066.6   207.9            4.5413           99.0241       876808.00
     3  1128.3   298.2            4.1793           69.0645       438376.00
     4  1185.3   288.9            3.8447           72.1491       121288.00
     5  1193.7   284.7            3.7956           73.5409       469344.00
     6  1192.9   281.0            3.8001           74.7634       340464.00
     7  1200.0   292.5            3.7584           70.9453       122116.00
     8  1203.8   282.5            3.7361           74.2744       742412.00
     9  1222.8   278.2            3.6246           75.7038       467412.00
    10  1254.8   281.5            3.4372           74.5941       647112.00
    11  1625.6   451.1            1.2625           18.3167       523236.00
    12  1635.8   451.0            1.2025           18.3306       691916.00
