          F2ppm           F1ppm       Intensity 
     1      3.7252           64.0761      3216013.75
     2      3.5052           73.8522      5164142.00
     3      3.4672           64.0761      4248376.75
     4      2.7225           58.0957      6299454.50
     5      1.5374           34.3483      2880123.75
     6      1.5318           26.8917      2933131.75
     7      1.4122           34.3479      1959714.50
     8      1.3652           30.8673      1773303.75
     9      1.3344           26.8939      1866647.75
    10      1.3060           23.6806      2688719.00
    11      1.2849           30.6489     69203899.00
    12      1.2843           33.0304      4376327.00
    13      0.8966           14.2659      1151869.50
