            F2ppm         F1ppm       Intensity 
     1      5.2729          120.1757      8806242.50
     2      3.2629           69.7255      4893242.81
     3      2.5341           32.1993      2407079.13
     4      2.1169           42.1663      2873963.75
     5      2.0940           26.5706     16729935.06
     6      1.9419           31.3524      1982237.13
     7      1.8250           30.2159      3439818.88
     8      1.7597           36.8471      3783828.81
     9      1.6655           31.2084      3881055.69
    10      1.6061           23.2377      2581506.50
    11      1.5662           20.2549      3464269.50
    12      1.5440           31.3524      2562132.94
    13      1.4324           30.2171      3682015.00
    14      1.4192           31.5402      3616841.88
    15      1.3560           32.1945      2255413.69
    16      1.3411           31.2091      2664010.19
    17      1.3483           20.2564      2449495.06
    18      1.1254           23.2373      2448103.88
    19      0.9880           36.8458      2546681.00
    20      1.7130           50.4597      3963282.75
    21      0.9389           18.9250     14330533.69
    22      0.8799           49.1278      3994147.38
    23      0.4928           14.2749      5805379.63
