        F2ppm           F1ppm       Intensity  
     1     7.0414          125.8372     11579519.00
     2     6.5123          112.5420     12228272.25
     3     6.4489          114.8711     23019552.50
     4     4.2323           70.0620     13193519.13
     5     2.7361           28.8886     14869964.88
     6     2.3013           25.2394      3504910.50
     7     2.1496           43.1666      7724186.00
     8     1.9735           31.2160      3406773.50
     9     1.8505           25.9043      4256701.75
    10     1.7257           31.2158     11325377.13
    11     1.6978           31.2146      6077634.13
    12     1.6918           46.8170      2273568.88
    13     1.4576           37.6810      3374684.63
    14     1.4039           31.2143      4070263.25
    15     1.3404           25.2381      1482015.00
    16     1.3006           25.9038      3111150.88
    17     0.8727           13.9549      5208290.25
