          F2ppm         F1ppm        Intensity
     1     6.6139          112.2067      6245857.92
     2     6.3788          115.5195      5641466.94
     3     3.5044           79.9931      3940243.02
     4     2.5893           28.2222      4675534.72
     5     2.1092           26.0538      1793631.88
     6     2.0182           43.4947      2818526.97
     7     1.8726           29.7017      1627288.94
     8     1.8212           36.5190      2307340.33
     9     1.7414           27.0311      2086807.73
    10     1.5642           22.5813      2108109.50
    11     1.3630           29.7013      1296939.34
    12     1.2871           25.9007      1136305.17
    13     1.2471           38.5107      1762409.20
    14     1.2258           22.5816      1176949.67
    15     1.1691           27.0324      1163819.56
    16     1.1458           36.5184      1662913.66
    17     1.0771           49.4662      2087741.88
    18     0.6569           10.9675      2238354.42
