             F2ppm           F1ppm     Intensity 
     1        6.6225          112.3165     17914680.75
     2        6.4114          115.3828     17201961.56
     3        2.6422           28.2149      9175000.94
     4        2.4248           35.1888      1665816.00
     5        2.1867           25.5542      5350249.00
     6        2.1022           43.4807      5672622.00
     7        2.0533           35.1888      2528475.13
     8        1.9384           20.9096      4496891.63
     9        1.8848           26.2221      3902663.31
    10        1.7404           31.2084      5576915.56
    11        1.5445           20.9089      2737784.19
    12        1.4563           37.8416      4254742.94
    13        1.4501           49.4691      4100721.00
    14        1.3449           31.2066      4575508.19
    15        1.3474           25.5572      3849983.75
    16        1.2791           26.2238      2970136.00
    17        0.8205           13.4320      1790798.69
