             F2ppm           F1ppm       Intensity
     1         5.2728          120.1992     25397608.75
     2         3.2656           69.7382      9902364.25
     3         2.5461           32.2192      7448489.00
     4         2.1408           42.0923     10133971.88
     5         2.0964           42.0923      5499601.25
     6         2.0938           26.5699     53963784.88
     7         1.9413           31.3681      2154070.38
     8         1.8241           30.2203      7615656.00
     9         1.7713           36.8637      4060896.13
    10         1.7192           50.4769      6887285.50
    11         1.6771           31.2229      5837260.25
    12         1.6132           23.2523      5346347.50
    13         1.5778           20.2768      5462801.50
    14         1.5488           31.5513      3609772.38
    15         1.4427           30.2189      5031732.50
    16         1.4292           31.5501      6688432.63
    17         1.3549           20.2778      3384409.25
    18         1.3571           32.2211      4385410.50
    19         1.3493           31.2222      2873402.13
    20         1.1316           23.2535      4328239.88
    21         0.9906           36.8637      6988953.75
    22         0.9383           18.9366     41102647.25
    23         0.8798           49.1445      8978380.25
    24         0.4970           14.2847      8680221.75
