           F2ppm           F1ppm       Intensity 
     1       3.6307           66.0709     59782847.00
     2       3.3964           75.0292     20764109.50
     3       3.1907           70.0521     30061955.50
     4       2.2059           30.8785     28450990.50
     5       2.2052           39.5089     18656792.00
     6       2.0876           30.8799     28830751.50
     7       1.9239           39.1735     31785679.50
     8       1.7935           27.6628     17972892.50
     9       1.7603           32.2074     28904547.50
    10       1.6954           35.1929     15817272.00
    11       1.6897           30.7034     28368739.00
    12       1.6792           22.9113     18882099.00
    13       1.4689           39.5076     18161265.00
    14       1.4768           30.2130     25803283.50
    15       1.4191           49.8012     19342859.00
    16       1.3948           20.0868     19441635.00
    17       1.3725           34.8614     50760575.00
    18       1.3552           38.8417     22713657.50
    19       1.2554           41.1709     29820749.50
    20       1.2495           27.6615     16126784.50
    21       1.2393           30.7049     11898030.50
    22       1.2025           20.0849     12797967.50
    23       1.1738           30.5508     26881325.00
    24       1.1005           39.1732     18890108.00
    25       1.0848           55.4445     27933094.00
    26       0.9879           22.9109     12978956.50
    27       0.8909           17.9329     98569729.00
    28       0.8840           35.1925     15610710.00
    29       0.8389           22.5654    147923235.00
    30       0.6161           11.6194     57713867.50
