      F2ppm           F1ppm       Intensity      
     1  4.5927           82.0001      3064836.75
     2  3.8301           70.3786      1562311.38
     3  2.6047           31.2121       928629.88
     4  2.4689           31.2051      1197028.38
     5  2.1820           40.1708      3024282.00
     6  1.9651           31.2077      1340120.75
     7  1.8645           20.2483      2294177.88
     8  1.6108           24.5657       694110.38
     9  1.5595           24.5657       731967.13
    10  1.5481           31.2068      1607628.63
    11  1.4490           40.3307      1275923.00
    12  1.3490           23.2433     13148654.00
    13  1.1613           24.4166      4707969.88
