       F2ppm           F1ppm     Intensity  
     1  3.5463           72.3595     13891587.75
     2  2.4328           36.8376      2426797.00
     3  2.0806           36.8348      5629636.50
     4  1.9577           22.8939      8002496.50
     5  1.9518           28.2061      9407636.50
     6  1.8228           36.5076      3731324.75
     7  1.7637           32.8588      6526510.00
     8  1.7582           37.1655      4102300.75
     9  1.6585           36.8348      5812636.00
    10  1.6351           31.1975      7753569.00
    11  1.5880           26.5469      6258593.75
    12  1.5703           21.2329      8295645.75
    13  1.5500           22.8946      6153887.75
    14  1.5115           42.1488     11586701.00
    15  1.4932           37.1665      8064448.50
    16  1.4299           43.4796      8570430.25
    17  1.4002           52.7747     10554747.75
    18  1.3289           28.2077      4138114.25
    19  1.3242           21.2324      2289914.00
    20  1.3053           31.1970      3338912.25
    21  1.2422           26.5459      3834915.25
    22  1.2594           32.8596      7521151.50
    23  1.0200           36.5085     11918441.00
    24  0.9779           23.8952     77218538.00
    25  0.8651           14.2613      3685311.00
