           F2ppm           F1ppm      Intensity 
     1      5.4036          132.1273      2197688.00
     2      5.3368          129.7985      2257704.00
     3      2.2789           34.3647      6368040.00
     4      2.0852           27.5540      5336288.00
     5      2.0346           28.2145      5650376.00
     6      1.6428           26.2221      5659352.00
     7      1.3402           30.8720      3102928.00
     8      1.2990           30.2090      2287416.00
     9      1.3053           23.8998      2220144.00
    10      1.2934           33.0264      2176856.00
    11      0.8969           14.6039      1076912.00
