       F2ppm           F1ppm       Intensity      
     1  5.3763          131.6164      8301712.00
     2  2.2674           35.1892      8592768.00
     3  1.9739           33.6891     13929456.00
     4  1.5901           26.2350      6212096.00
     5  1.3092           23.9029      2460048.00
     6  1.3455           30.8674      9115264.00
     7  1.3168           30.2123     17850576.00
     8  1.2861           30.5447     21760704.00
     9  1.2817           33.2006      4305136.00
    10  0.8951           14.6060      1337520.00
