		F2ppm	F1ppm	Intensity
	1	5.7347	123.8423	5342015.56
	2	3.7657	79.7105	3962957.94
	3	2.4202	34.0817	1110161.78
	4	2.4051	32.7912	1288125.06
	5	2.3568	33.9644	2033923.81
	6	2.2752	32.9671	1545947.97
	7	2.1997	32.3805	1126543.72
	8	2.0576	35.6655	1552612.50
	9	1.8884	32.3219	1139383.75
	10	1.7978	24.4614	1320539.91
	11	1.7283	35.6655	610591.91
	12	1.6588	20.5311	1527765.44
	13	1.5561	31.0900	1613768.66
	14	1.5470	35.8415	756024.56
	15	1.4926	32.3219	1125878.09
	16	1.4805	20.5898	466669.81
	17	1.4171	48.2775	1352383.25
	18	1.2207	24.5200	1097918.78
	19	1.1965	17.5395	2562729.91
	20	1.1028	32.2632	1403943.88
	21	0.9790	53.5569	1987580.88
	22	0.7221	16.8355	1666391.38
