            F2ppm           F1ppm      Intensity  
     1        5.5958           65.0545     34161581.00
     2        3.8298           68.7026     48767228.00
     3        3.2436           54.2517    257973445.00
     4        2.7567           37.1676     44862624.00
     5        2.3580           34.5109     47872166.00
     6        1.6161           24.8953     40754939.00
     7        1.3118           29.4287     32763114.00
     8        1.2879           22.8916     16707446.00
     9        1.2609           29.8659    479504873.00
    10        1.2604           32.1830     39836704.00
    11        0.8789           14.2711      4315825.00
