      F2ppm           F1ppm       Intensity       
     1 6.2363          122.5192     11131671.75
     2 6.0354          117.5109     10953789.50
     3 5.0500          112.5356     29925408.75
     4 4.8205          112.5356     31028592.00
     5 3.9464           69.1979     18157021.00
     6 2.8246           29.0883      6595618.00
     7 2.5746           45.9471      6150192.25
     8 2.3993           31.9902      9967188.75
     9 2.2873           46.0161      9336460.00
    10 2.1828           31.9902     10170925.25
    11 2.0075           40.5578      7738938.25
    12 1.9776           56.4492     15378211.00
    13 1.9254           35.2376     10544304.50
    14 1.8769           27.7064      8483255.50
    15 1.6791           29.0883      5181280.50
    16 1.6791           35.2376     10283502.25
    17 1.6605           23.6299      9505393.25
    18 1.5336           23.6299      5679504.75
    19 1.5187           28.0519      7890960.75
    20 1.4776           22.2480     19469275.50
    21 1.3582           36.1358     17063579.50
    22 1.3396           23.9754      9334114.25
    23 1.3022           40.5578      8347306.50
    24 1.2649           27.7064      7159900.50
    25 1.2724           56.5874      7754095.75
    26 1.1455           23.9754      6210904.75
    27 1.1269           39.5214     12837456.00
    28 1.0037           36.1358      7909743.25
    29 0.9216           18.9316     31051861.00
    30 0.8657           22.8008     70064265.50
    31 0.5485           12.0222     15479642.00
