    F2ppm	F1ppm	Intensity
1    6.7070	144.1026	269890.00
2    5.7378	123.9765	5069921.13
3    2.4354	32.6255		1155825.69
4    2.4227	34.0740		2833078.06
5    2.3562	33.8671		2523414.75
6    2.3309	31.9357		1079852.75
7    2.3081	32.6279
8    2.2675	27.1764		8954917.75
9    2.0902	32.0047		773306.81
10  2.0332	35.3155		922815.19
11  1.8748	31.6598		1160938.25
12  1.7640	33.7291		1467832.06
13  1.6975	35.5225		1125748.00
14  1.6183	20.7617		1630255.25
15  1.5423	20.5548		1034302.81
16  1.4283	55.4564		1782090.81
17  1.3365	34.3499		1845831.06
18  1.2193	17.1060		3421295.56
19  1.1148	31.7978		1552009.50
20  1.0008	54.0769		2002352.63
21  0.9438	15.7954		1001684.06
