         F2ppm          F1ppm       Intensity       
     1    8.3581          139.7637     15683698.44
     2    8.1527          152.3760      9767629.31
     3    5.8916           87.1365     24606075.94
     4    4.7512           72.3755     22429993.44
     5    4.1466           72.3747     24970496.00
     6    4.0294           83.5015     20093170.06
     7    2.8678           35.8587     12780846.88
     8    2.7964           35.8587     12598847.25
     9    2.0884           15.2730     16329281.75
    10    2.0231           15.2730     14286125.44
