            F2ppm           F1ppm       Intensity   
     1        5.3955          102.2471     41619297.75
     2        5.2233           94.6110      8309618.38
     3        4.6479           98.4408      6909896.00
     4        3.9547           76.0316     19142897.63
     5        3.9295           72.7017      2929325.00
     6        3.8997           63.3490      3096443.25
     7        3.8363           63.0736     21160770.00
     8        3.8343           73.8094     14851134.75
     9        3.7595           63.0810      8316007.63
    10        3.7650           79.0073      5721337.13
    11        3.7004           75.3528     11989983.25
    12        3.6711           75.5588      3624334.63
    13        3.6458           79.3489     24523773.50
    14        3.6185           74.0523     15312751.88
    15        3.5895           77.1539      4194195.38
    16        3.5717           74.3627     10508460.63
    17        3.4172           72.0311      9830742.00
    18        3.2665           76.6854      7275143.88
