              F2ppm           F1ppm       Intensity  
     1         5.3894           99.2907       744373.25
     2         5.2089          101.9206       971047.25
     3         4.8107           71.9086       587762.25
     4         4.3884           69.0591       359072.25
     5         4.3289           78.3535      1034118.63
     6         4.2518           69.0567       325135.63
     7         4.1891           71.7146       830566.88
     8         4.0884           78.5262       642738.13
     9         4.0109           71.7265       596348.88
    10         3.7627           78.5078       558322.00
    11         3.7322           63.7476       134562.88
    12         3.6610           72.3928       748503.63
    13         3.3802           75.5753       213669.13
    14         3.2667           60.5867       659589.38
    15         2.0304           24.5738      1533792.38
