    F2ppm	F1ppm	Intensity
1    5.6876	122.5390	6292614.25
2    4.4240	68.0195	4254192.09
3    4.2305	69.3215	1392579.03
4    2.4885	32.0353	1528964.69
5    2.4743	33.8270	634573.88
6    2.4002	59.3405	3034238.47
7    2.3661	33.9703	1867907.50
8   2.2756	31.7370	1550799.31
9   2.2237	22.4319	687599.97
10  2.2009	34.7586	1065868.88
11  2.0984	47.9454	308710.56
12  2.0244	32.6086	1843857.97
13  2.0130	31.3903	2263847.09
14  1.8593	35.0453	1378879.19
15  1.8194	24.4385	887135.19
16  1.7966	22.4319	601662.13
17  1.6059	48.0171	419143.13
18  1.4493	20.9985	15882139.81
19  1.4265	24.4385	748777.63
20  1.1389	57.5488	2052619.19
21  1.0848	32.6803	759129.88
22  1.0022	56.2588	1610007.84
23  0.9396	16.0535	1295192.16

