         F2ppm           F1ppm       Intensity       
     1   8.9515          139.8790     17728878.25
     2   8.3426          142.5708     17687329.25
     3   7.8742          115.3661     22397384.00
     4   7.4989          134.7597     26428426.75
     5   6.4846           87.3165     17863159.50
     6   4.6835           73.7021     19653023.00
     7   4.1877           89.9835     21928215.50
     8   3.8470           64.2281     11511980.00
     9   3.8066           64.2281     10380253.50
    10   2.8786           41.8265      6221324.00
    11   2.6320           41.8265      5883199.00
