      F2ppm           F1ppm       Intensity
     1  7.1617          130.4748      5873538.88
     2  6.8805          111.8827     16200419.13
     3  6.8384          113.8726      6478065.25
     4  3.7720           55.7701     16456453.13
     5  3.6245           61.7552      8333901.56
     6  3.1702           24.2444       612105.19
     7  3.1507           48.8232       823712.88
     8  2.9331           41.1713      9952962.56
     9  2.7235           48.8232       391550.56
    10  2.5082           36.2021      1417893.63
    11  2.0557           44.1652       146126.50
    12  1.9294           40.5173       148717.19
    13  1.7213           26.8957      2826672.44
    14  1.6071           22.9169      2327495.06
    15  1.5960           40.5175       268958.00
    16  1.5543           26.8970      2435212.31
    17  1.4488           26.8979      1652217.75
    18  1.4254           36.1951      2946756.44
    19  1.2935           22.9158       951045.38
    20  1.1446           26.8982      1423013.06
