       F2ppm           F1ppm       Intensity
     1   7.1595          126.6289     17838937.81
     2   6.6295          112.7682     12420564.56
     3   6.5629          115.2476     29567949.00
     4   2.8216           29.6520     18977877.88
     5   2.3547           26.4499      7410616.06
     6   2.3383           39.0664      7039661.56
     7   2.2114           43.6775      7665472.88
     8   2.0312           39.0024      7685805.56
     9   1.9165           32.7902      7906462.94
    10   1.8674           27.2184      7186513.63
    11   1.8019           22.7994      5670977.00
    12   1.7323           32.7261      7314349.81
    13   1.7077           49.3774      5439106.50
    14   1.4866           26.5139      6897833.06
    15   1.4292           39.5147      3069563.13
    16   1.4128           22.8635      5140963.44
    17   1.3555           27.2824      4542125.69
    18   0.8927           12.6806      9060636.25
    19   2.6105           74.2973
