        F2ppm           F1ppm       Intensity
     1   8.7725          147.0536      1535380.63
     2   7.5891          105.1889     10141298.88
     3   7.5691          104.8901     10355850.25
     4   4.7366           57.0545     14202528.00
     5   4.5436           69.3682      9979950.13
     6   4.4053           69.3682     10579325.88
     7   3.4248           51.1222     25560608.63
     8   2.6295           56.4835     32594142.38
     9   2.3818           46.2969     36333104.38
    10   1.5565           18.2552     10538717.13
