       F2ppm           F1ppm       Intensity       
     1  5.7916          121.4548     50846549.75
     2  2.6955           33.5878     10924076.00
     3  2.4144           33.8230     22158579.75
     4  2.3488           33.5878     11948936.25
     5  2.2801           27.8820     72793799.25
     6  2.0271           35.9407      8731964.50
     7  1.8522           40.9994      8135432.25
     8  1.8397           23.8820     10402979.50
     9  1.7179           30.0584     13671155.25
    10  1.7241           35.9407     12628635.00
    11  1.7054           49.8816     10283285.50
    12  1.6773           35.4113      6210641.50
    13  1.6648           20.6468     10773217.50
    14  1.5992           33.5878      9748365.25
    15  1.4305           30.0584      9870421.75
    16  1.4055           20.7056      4652247.00
    17  1.3806           23.8820      8826366.75
    18  1.1900           18.2939     27005151.00
    19  1.0776           18.4115     28686494.00
    20  0.9839           53.5875     13635070.75
    21  0.8808           40.9994      6089204.00
    22  0.7715           15.4115      8880939.25
