           F2ppm          F1ppm       Intensity 
     1      8.4934          151.3153      1672786.00
     2      8.4348          151.3153      1733684.00
     3      7.8138          141.3018      1640952.00
     4      7.4173          125.9107      2784548.00
     5      7.3708          131.6592      4409920.00
     6      7.3324          125.5398      3066748.00
     7      7.3182          131.8446      5504888.00
     8      4.2276           51.5974      2512896.00
     9      3.0620           58.7529      3410358.00
    10      2.8647           45.4155     17796790.00
    11      2.6211           30.9584       838454.00
    12      2.5131           30.9584       963966.00
