       F2ppm          F1ppm      Intensity       
     1  5.3486          129.9312     21752398.75
     2  2.3475           33.8209     19503974.00
     3  2.0109           27.1842     34277407.75
     4  1.6354           24.6837     11774708.25
     5  1.3288           29.5243     20508862.00
     6  1.2910           22.6642      5102989.50
     7  1.2643           31.8965      8183133.50
     8  1.2621           29.6205    122245784.25
     9  0.9177           14.1050      4581529.25
    10  0.8488           14.1371      4771707.50
