             F2ppm           F1ppm      Intensity 
     1        5.6366          123.4768     59272977.50
     2        4.4460           66.0422       686616.38
     3        4.0784           66.0416        41264.88
     4        2.8740           49.7871      7313697.00
     5        2.5810           33.3530      5866617.00
     6        2.5334           33.6878      7531812.75
     7        2.4226           31.5260     13111049.25
     8        2.4162           33.1746     12485959.88
     9        2.3568           48.7919     15372894.88
    10        2.2578           31.5271      8333850.75
    11        2.1403           60.7502     12549971.00
    12        2.1171           33.1744      3634541.13
    13        1.9449           49.7876      6469865.50
    14        1.8941           35.8421     11243942.38
    15        1.8763           31.7104      9967563.00
    16        1.7867           22.5673     11046411.88
    17        1.6817           33.6869      7712766.13
    18        1.6276           33.3542      8839195.50
    19        1.3346           22.5673      8955908.50
    20        1.3199           16.5918     34394462.75
    21        1.2223           31.7111      7266712.50
    22        0.4709           15.2688      7468683.00
