             F2ppm           F1ppm       Intensity 
     1         8.3294          148.7444       505740.25
     2         6.2694          107.8828     64665639.00
     3         3.3133           75.0165     26795583.00
     4         2.7218           32.3524       903907.50
     5         2.4452           32.3538      2784752.00
     6         2.4321           31.2029      6295306.88
     7         2.3640           31.2029      8107633.00
     8         2.0703           38.5090     15177770.63
     9         1.8475           38.5077     16600202.25
    10         1.7301           30.2126     11780750.63
    11         1.6067           32.1985     39528268.00
    12         1.6087           22.7206     10676410.75
    13         1.5654           20.5709     11683711.88
    14         1.4778           36.1814      8340187.75
    15         1.4135           49.2227      8678403.63
    16         1.3901           20.5710      6984773.88
    17         1.2791           22.7209      7658555.13
    18         1.0821           53.4396     16992317.38
    19         0.9561           18.2475     46366484.63
    20         0.9373           30.2126      7512392.00
    21         0.7789           12.6115      7042702.13
