           F2ppm           F1ppm     Intensity 
     1      6.1357          128.4614     11626866.00
     2      6.0827          139.4193     12414478.38
     3      5.6838          124.1464     45335972.00
     4      2.5781           33.8525     11404982.25
     5      2.5336           29.1979      2210078.50
     6      2.4409           33.8522      2547899.63
     7      2.3758           31.1880      8742672.63
     8      2.3168           35.5112     13579872.25
     9      2.2992           37.8342     19280891.00
    10      2.0173           33.8531      6938768.25
    11      1.9186           31.1894      7765714.38
    12      1.8759           22.5590      9591422.63
    13      1.8748           35.5100      8606853.13
    14      1.7113           33.8538     12304118.63
    15      1.6717           20.2351      8181737.75
    16      1.6400           31.5185      8414501.00
    17      1.5792           22.5596      8092922.75
    18      1.4729           20.2358      3878163.25
    19      1.3673           31.5199     10107140.63
    20      1.3608           47.1204     12706743.13
    21      1.1906           50.4407     15638926.75
    22      1.1293           16.2457      8035638.38
    23      1.0346           14.4140      6716982.88
