             F2ppm           F1ppm    Intensity   
     1        6.6700          130.5482     13972631.00
     2        6.6581          124.8058     16382743.00
     3        6.4355          139.4140      2190599.50
     4        6.3705          141.4017     14840971.00
     5        6.3057          133.5772     19756562.50
     6        6.2764          134.4357     12858096.00
     7        6.2423          124.1361      -721008.47
     8        2.5109           34.2780     41207136.00
     9        2.0015           12.5944     16124333.00
    10        1.8774           13.9277      3859488.00
    11        1.8599           37.5009     40529526.00
    12        1.1999           27.7172    167677736.00
