             F2ppm          F1ppm       Intensity  
     1        5.4433           91.6247     10788824.38
     2        4.9395           95.8137      3808183.75
     3        4.3581           81.6695      3651030.88
     4        4.3197           81.8183      4425672.88
     5        3.8888           62.9611      1441846.50
     6        3.8689           74.0492      3853899.50
     7        3.8361           62.7556      2108076.88
     8        3.7821           62.7556      4529521.13
     9        3.7320           62.9596      1828544.38
    10        3.6835           81.0149      4566194.00
    11        3.5721           73.0464      5927847.63
    12        3.5428           82.6734      3010319.50
    13        3.4975           78.5542      2646727.25
    14        3.2786           56.1162      3396273.75
    15        2.9855           58.4317      3896083.00
    16        1.4080           21.5850     15296756.88
