            F2ppm           F1ppm       Intensity 
     1        9.7632          146.3810      1585466.50
     2        8.6860          121.5046     23564348.13
     3        8.1033          127.9906      8585271.88
     4        7.9884          124.4920      9242582.88
     5        7.6420          106.5484     23482559.75
     6        6.9540          109.2973     21198251.25
     7        6.0973          103.5723     31776939.00
     8        4.9247           57.0996     20742768.75
     9        4.1994           62.4194     30295343.38
    10        4.0995           57.5464     39697791.38
    11        3.2544           28.2009     20288725.75
