             F2ppm          F1ppm       Intensity
     1        5.4171           94.7607     34698650.88
     2        4.9803          100.9137     66089173.75
     3        4.2115           79.0087     19131906.38
     4        4.1323           71.3782     22356780.75
     5        4.0504           76.6797     16187640.63
     6        4.0485           73.8941     16072985.63
     7        4.0356           68.3876      8238140.88
     8        4.0320           72.0384     35945203.88
     9        3.9885           73.6967     23450555.00
    10        3.9768           71.8601     35432596.63
    11        3.9006           72.0378      9853747.88
    12        3.8830           83.9867     18652568.13
    13        3.8595           69.0491     12917559.38
    14        3.8323           72.0377     20179779.38
    15        3.8151           71.0277     28361931.50
    16        3.7969           65.0680      1117822.25
    17        3.7479           75.3524     19758195.50
    18        3.7362           63.7370     46774628.63
    19        3.7182           69.0486     14009493.63
    20        3.6588           68.3883      9162098.25
    21        3.6660           64.0701     56114797.88
    22        3.5598           73.6963     14488242.00
    23        3.5189           72.0800     18819136.88
