        F2ppm           F1ppm       Intensity       
     1   7.3619          130.1088      8520042.13
     2   7.3365          129.4807     12853663.56
     3   7.3066          129.1199      5551431.69
     4   5.0313           64.5422      8523725.31
     5   4.1432           64.6008      4405071.06
     6   3.8990           58.7605      1126028.31
     7   3.8459           53.8975      8397079.63
     8   3.8200           55.8522      3912624.63
     9   3.8064           58.6651      1102549.88
    10   3.7992           64.6008      2428473.50
    11   3.2749           53.6050      7677943.63
    12   2.8315           31.1881      1773939.13
    13   2.4660           25.5311        64923.94
    14   2.4000           25.2128        55710.19
    15   2.0220           25.5314       336012.81
    16   1.8094           25.2128       325319.69
