             F2ppm           F1ppm     Intensity  
     1        8.5466          148.9411      6531838.38
     2        8.4089          148.7296      6708296.31
     3        7.8548          136.4717     15944154.19
     4        7.4041          125.1594     16733413.81
     5        3.6838           60.4270     12101577.75
     6        3.1453           48.1432      7175186.00
     7        2.7880           48.1432     12000050.06
     8        1.9185           25.9029     11848800.19
     9        1.8184           34.8616      7730479.19
    10        1.6891           26.2332     10025308.88
    11        1.5760           26.2332     12806262.00
    12        1.5755           25.9033     10393384.38
    13        1.5538           34.8629      3269907.81
