           F2ppm         F1ppm       Intensity 
     1      7.7001          133.1355      3586197.69
     2      7.6769          126.7035      7596761.25
     3      7.6594          124.1679      4883681.44
     4      7.5786          128.1429      8251661.13
     5      7.0847          116.1989      7279708.94
     6      5.2548           72.3724       968739.25
     7      5.1894           72.3724       898952.13
     8      3.1308           58.7751      5420300.69
     9      2.7856           43.4840     32790030.50
    10      2.3501           38.4989      2213693.69
    11      2.2318           38.5040      2065152.56
    12      1.6546           20.9149       878063.00
