       F2ppm           F1ppm     Intensity 
     1  4.8389           94.2608     18310255.50
     2  4.7426           76.1218      8490075.00
     3  4.4016          101.9001     14311466.75
     4  4.1650           77.3239     15972174.75
     5  4.0801           64.5420      8177368.00
     6  3.6632           66.7178      8492718.50
     7  3.5132           82.6402     13254579.25
     8  3.4458           74.6804     13042044.25
     9  3.2286           48.6032     41996173.50
    10  3.0237           70.3586     11478066.75
    11  2.9120           77.3253     10461489.50
    12  2.6653           61.2144      8724601.25
    13  2.6657           44.4644      8958266.50
    14  2.3985           64.5436      7237036.00
    15  2.3544           68.5133      3838620.75
    16  2.2611           34.5066       913925.75
    17  2.2142           40.1567    104523692.75
    18  2.2020           35.5194     42050709.25
    19  2.1078           68.5130      5216768.50
    20  1.8826           41.4795      7879235.00
    21  1.8804           25.8787      6120400.75
    22  1.7733           20.8939      4034078.75
    23  1.5751           29.8579      3960866.25
    24  1.5277           41.8059      2518357.50
    25  1.5042           34.5132      2422309.25
    26  1.3697           20.8946      3474507.75
    27  1.2651           41.8068      3562111.50
    28  1.1701           27.2034     43251762.25
    29  1.1507           18.2420     18552710.00
    30  1.1349           20.8951     48815317.25
    31  1.0824           14.5921      3885454.25
    32  1.0677           21.2271     31503834.50
    33  1.0587           29.8575      2354954.50
    34  1.0118           17.5746     12077751.50
    35  0.9499            8.9458     21246740.75
    36  0.9414            6.6221     20491467.00
    37  0.8531           21.8966     28745546.75
    38  0.7926           10.7503      5518398.50
