group,count
Amino acids & peptides,158
Lipids,107
Aromatic acids & phenolics,92
Nucleobases & related,81
Other (unmapped),77
Carbohydrates,73
Aliphatic organic acids,71
Steroids,63
N-heteroaromatics & amines,32
Amines & ammonium salts,25
Other,24
Terpenoids & isoprenoids,17
Flavonoids & polyphenols,15
Simple aromatics,13
Carbohydrates / polyols,12
Phosphates & organophosphorus,6
Vitamins & cofactors,5
Organosulfur,5
Lipids (phospholipids),5
Organosulfur (conjugates),2
Tetrapyrroles & pigments,2
Organosulfur (heterocycles),2
Other N-heterocycles,2
Hydrocarbons,1
