accession,name,kingdom,super_class,class,sub_class
HMDB0000001,1-Methylhistidine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000002,"1,3-Diaminopropane",Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0000005,2-Ketobutyric acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives
HMDB0000008,2-Hydroxybutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
HMDB0000010,2-Methoxyestrone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0000011,3-Hydroxybutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB0000012,Deoxyuridine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
HMDB0000014,Deoxycytidine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
HMDB0000016,Deoxycorticosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
HMDB0000017,4-Pyridoxic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB0000019,alpha-Ketoisovaleric acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives
HMDB0000020,p-Hydroxyphenylacetic acid,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids
HMDB0000021,Iodotyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000022,3-Methoxytyramine,Organic compounds,Benzenoids,Phenols,Methoxyphenols
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB0000026,Ureidopropionic acid,Organic compounds,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas
HMDB0000030,Biotin,Organic compounds,Organoheterocyclic compounds,Biotin and derivatives,
HMDB0000032,7-Dehydrocholesterol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB0000033,Carnosine,Organic compounds,Organic acids and derivatives,Peptidomimetics,Hybrid peptides
HMDB0000034,Adenine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0000037,Aldosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
HMDB0000038,Dihydrobiopterin,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives
HMDB0000039,Butyric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000042,Acetic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids
HMDB0000043,Betaine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000045,Adenosine monophosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0000050,Adenosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,
HMDB0000052,Argininosuccinic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000053,Androstenedione,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids
HMDB0000054,Bilirubin,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Bilirubins
HMDB0000055,Cellobiose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000056,beta-Alanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
