            F2ppm           F1ppm     Intensity 
     1       6.7704          109.5576     32139646.88
     2       6.4600          115.5352     33364732.38
     3       3.7091           55.5934     54414135.88
     4       2.6760           28.2179     15097772.75
     5       2.4299           35.1912      1455446.38
     6       2.3538           25.5592      8409826.00
     7       2.1544           43.4932      9382505.25
     8       2.0594           35.1899      4021200.50
     9       1.9430           20.9138      7064376.25
    10       1.8966           26.0902      5074665.88
    11       1.7616           31.2064     10456835.13
    12       1.5558           20.9138      4305574.00
    13       1.4800           37.8448      7526073.75
    14       1.4738           49.4701      6467628.38
    15       1.3690           31.2073      4805458.88
    16       1.3691           25.5598      3694813.88
    17       1.2982           26.0901      4059195.00
    18       0.8351           13.2840      2594285.63
