             F2ppm           F1ppm     Intensity  
     1        7.0329          125.8246     35579840.63
     2        6.5049          112.5324     35682593.88
     3        6.4286          114.8663     53868785.50
     4        3.8357           76.5136     25699845.88
     5        3.2902           88.6303     44285699.00
     6        2.6920           28.8791     41852407.38
     7        2.2054           25.5624     10584112.25
     8        2.1002           43.4828     17060850.63
     9        1.7653           36.5162     11638678.13
    10        1.7417           26.8864     17307769.75
    11        1.6717           33.8598     10476786.13
    12        1.4124           33.8596     19656505.75
    13        1.4078           47.1413     16197018.25
    14        1.2867           25.5620      4334399.38
    15        1.2447           26.8856     10608900.88
    16        1.2430           38.0200     13242343.25
    17        1.2162           36.5159     10398493.25
    18        0.6564           12.2790      8592328.00
