       F2ppm          F1ppm       Intensity
     1  5.6153           66.1853      5389502.75
     2  3.8540           69.4914      3406970.25
     3  3.6958           69.4914       728847.50
     4  3.2332           54.9053      6043701.75
     5  3.1952           54.5646     71579342.25
     6  2.7479           37.7952      4863297.00
     7  2.3827           35.1300      8211724.50
     8  1.6260           25.6865      6233327.50
     9  1.3327           30.3355      6564608.00
    10  1.2976           23.6941      1721734.00
    11  1.2858           30.6631     66658576.75
    12  1.2858           32.9984      4011351.75
    13  0.8929           14.3988      3961003.75
