       F2ppm           F1ppm       Intensity       
     1  3.5982           71.2097      8618439.25
     2  2.4349           35.8862      1888073.75
     3  2.0658           35.8862      3566166.50
     4  1.9319           21.7971      6588248.38
     5  1.8217           31.4636      9778880.38
     6  1.7979           31.2741     10556980.00
     7  1.7235           37.0234      3400961.13
     8  1.6610           20.5335      6893201.00
     9  1.5896           38.1607      7592146.88
    10  1.5479           35.1912      7182244.50
    11  1.5003           21.7971      6373382.88
    12  1.4139           31.5268      5183201.38
    13  1.3276           28.4941     12490309.88
    14  1.3127           20.5335      3897698.00
    15  1.3068           38.1607      2076511.25
    16  1.2651           51.4916      8743242.88
    17  1.2324           31.5268      5784151.63
    18  1.1341           44.9841      6441278.25
    19  0.9942           37.0866      7384913.75
    20  0.9734           31.0213      3774111.00
    21  0.8960           13.8364     15879521.25
    22  0.8275           13.8364      9295476.25
    23  0.8305           12.3201     11662939.50
    24  0.6936           54.5243     12169761.00
