       F2ppm           F1ppm      Intensity
     1  6.7622          109.5559     37680402.88
     2  6.4371          115.3402     32749416.88
     3  3.7069           55.5865     60254919.25
     4  3.5128           79.6819     15455009.13
     5  2.6216           28.2279     18408082.50
     6  2.2697           25.9034      5160624.50
     7  2.0735           43.6679     10330679.25
     8  1.8829           29.7027      6117042.75
     9  1.8411           36.5223      5874782.25
    10  1.7593           26.8942      7288722.00
    11  1.5766           22.5854      7616260.25
    12  1.3768           29.7023      4423777.63
    13  1.3262           25.9039      3454133.13
    14  1.2781           38.5108      4543869.63
    15  1.2407           22.5846      3868447.63
    16  1.1946           26.8934      4262084.88
    17  1.1676           36.5227      7887726.50
    18  1.0968           49.4708      6826841.50
    19  0.6689           11.1319      3970118.63
