       F2ppm           F1ppm     Intensity 
     1  7.0620          127.1601     23780144.88
     2  6.5261          113.6721     20643476.88
     3  6.4640          116.0134     39551847.25
     4  3.6424           82.4765     22647789.25
     5  2.7510           30.5626     26646743.63
     6  2.2816           27.5607      7917623.25
     7  2.1111           45.3043     13204162.00
     8  2.0256           30.5626      8270207.63
     9  1.9413           37.8546      6559394.63
    10  1.8533           28.5539      9787552.38
    11  1.6837           23.9169      9498392.38
    12  1.4938           30.5627      7899696.63
    13  1.4209           27.5616      4006408.00
    14  1.3664           40.5164      5704139.13
    15  1.3418           23.9168      5613286.25
    16  1.2778           28.5533      6088523.00
    17  1.2539           37.8549     10651846.75
    18  1.1673           51.2395      9262386.25
    19  0.7628           11.6317     24773665.50
