       F2ppm           F1ppm     Intensity  
     1  3.5487           82.4940      4275588.14
     2  3.5010           71.6987      3343789.72
     3  1.9635           30.5435      2238839.03
     4  1.8131           37.9998      1837727.53
     5  1.7544           32.1578      2088143.14
     6  1.7304           38.1848      1910159.91
     7  1.6897           32.8605      2161085.72
     8  1.5785           21.8998      2073106.88
     9  1.5783           24.2389      2046722.63
    10  1.5141           38.8431      2679142.30
    11  1.4478           30.5432      1835425.27
    12  1.4198           36.8566      2274443.11
    13  1.3955           32.1569      1322711.13
    14  1.3200           21.9006      1457687.45
    15  1.2853           29.8782      6631213.14
    16  1.2732           38.8427      1456519.34
    17  1.2390           24.2398      1626745.98
    18  1.1151           46.1510      2282075.86
    19  1.0216           37.9990      2385444.31
    20  0.9857           38.1832      3090300.48
    21  0.9502           52.3163      2579563.66
    22  0.8960           32.8616      1875181.52
    23  0.8430           12.7706      2272125.08
    24  0.7251           11.6208      4744543.72
    25  0.6509           56.1011      3189544.91
