		F2ppm	F1ppm	Intensity
	1	3.8671	70.8985	2881496.00
	2	3.4576	74.3307	2070616.00
	3	2.2166	36.9659	1541728.00
	4	2.0847	41.2180	606128.00
	5	2.0490	36.9659	1628528.00
	6	1.9666	41.9724	935792.00
	7	1.9474	30.5877	885328.00
	8	1.9227	36.7601	864720.00
	9	1.8320	38.1318	833128.00
	10	1.8046	35.1141	1483288.00
	11	1.7084	26.1299	1091800.00
	12	1.6865	34.9770	1147232.00
	13	1.6837	41.2865	1172416.00
	14	1.6370	32.3023	1296480.00
	15	1.5711	36.8287	1029976.00
	16	1.4997	23.2494	1170960.00
	17	1.4502	41.9724	1177216.00
	18	1.4063	38.4061	1144424.00
	19	1.3898	43.9613	1696144.00
	20	1.3926	52.6712	771128.00
	21	1.3624	34.9084	1113056.00
	22	1.3569	32.4394	787848.00
	23	1.2827	30.4505	712720.00
	24	1.2442	41.9724	848680.00
	25	1.2415	23.3866	740808.00
	26	1.2085	57.6777	1198872.00
	27	1.0575	26.1299	577096.00
	28	0.9668	37.8574	558272.00
	29	0.9092	25.4440	6843784.00
	30	0.9449	20.7119	3131768.00
	31	0.6620	14.3337	1558304.00
