
      F2ppm           F1ppm       Intensity       
     1  4.5496          103.5339      4888412.00
     2  4.4549          105.6031      2068388.00
     3  4.2827           77.5605      1753412.00
     4  4.2436           86.8172      1378960.00
     5  4.1970           69.5660      8200028.00
     6  4.1187           80.1552      3446436.00
     7  4.0182           82.7499      1675052.00
     8  4.0126           65.7090      1134300.00
     9  3.9231           71.3893      9827012.00
    10  3.9138           68.9348      2243180.00
    11  3.8001           65.3851       736488.00
    12  3.7931           63.9854      2140624.00
    13  3.7561           63.9188      2797240.00
    14  3.7437           65.7184      1051828.00
    15  3.7243           66.6515      1159408.00
    16  3.7173           65.3851       715392.00
    17  3.7067           78.1155      3355920.00
    18  3.6679           75.5161      3807380.00
    19  3.5938           73.6499      1890232.00
    20  3.5780           65.3851       445312.00
    21  3.5674           66.6515      1078344.00
    22  3.5638           73.5166      1129732.00
