         F2ppm           F1ppm       Intensity      
     1   5.4035          102.5547       242810.00
     2  3.9582           76.0749        73597.00
     3  3.8542           63.1777       244655.00
     4  3.8196           73.7696        66658.00
     5  3.7918           63.1777       184004.00
     6  3.7052           75.5141       103995.00
     7  3.6428           74.2680        85311.00
     8  3.6393           79.4394        75847.00
     9  3.6047           74.4549        95000.00
    10  3.4348           72.0873       105691.00
