           F2ppm        F1ppm       Intensity 
     1    5.2553           93.6111      5810046.75
     2    4.6994           97.6440      2895948.50
     3    4.2320           72.6516      2947945.00
     4    4.1471           53.2700      1170226.75
     5    4.0529           69.0486      1153699.00
     6    3.8713           72.7030      2666540.00
     7    3.8713           56.5960      2318749.25
     8    3.8064           77.0180      2912898.00
     9    3.8008           63.7394      5914663.50
    10    3.7835           63.7460      1261346.25
    11    3.7481           63.7460      1612583.00
    12    2.0441           24.7286     11569941.50
