           F2ppm           F1ppm     Intensity 
     1      3.9533           75.3528      5092821.13
     2      1.9300           39.5104      4664778.69
     3      1.9125           35.1905      3326651.31
     4      1.7952           27.5592      2508281.75
     5      1.7838           26.5632      2797756.31
     6      1.7635           35.1896      3130501.69
     7      1.7015           34.8474      1708800.56
     8      1.6954           27.5551      2837348.38
     9      1.6542           33.1931      1866079.94
    10      1.5720           33.1931      4336261.69
    11      1.5266           23.6795      2886404.13
    12      1.3534           25.9058      2561414.75
    13      1.3498           39.8355      2887191.44
    14      1.3379           20.2471      3252947.88
    15      1.3140           35.1944      5853076.06
    16      1.3135           41.5029      3334197.75
    17      1.2625           27.5604      2857757.56
    18      1.2342           27.5565      3292697.06
    19      1.1810           26.5641      2079891.50
    20      1.1559           20.2481      2703616.00
    21      1.1550           39.5102      2729298.88
    22      1.6539           32.5304      2700095.06
    23      1.0749           32.5307      2391350.19
    24      1.0563           55.7747      5020791.38
    25      1.0433           25.9054      1570688.81
    26      0.9970           23.6808      1182146.75
    27      0.9001           34.8483      2403513.50
    28      0.8742           22.9013     28145120.00
    29      0.8509           18.2654     12726585.56
    30      0.6054           11.6265      5074358.25
