           F2ppm           F1ppm      Intensity
     1      5.4903          129.4580       894923.44
     2      5.4431          136.1089       782718.16
     3      5.3559          130.1332      1689783.50
     4      5.2612          126.6395      1581731.13
     5      3.9408           70.6957      2128690.81
     6      3.8888           70.6999      2718788.63
     7      2.5631           46.5991       202718.91
     8      2.2554           52.1201      1402878.44
     9      2.1992           24.2307       439305.38
    10      2.1759           32.8621      4074702.19
    11      2.1173           53.4343      1030494.78
    12      1.9884           46.6002       413467.31
    13      1.9825           25.8992      2881816.94
    14      1.5192           24.2327      3694340.16
    15      1.3730           37.1784       291830.31
    16      1.2722           24.5556       461186.41
    17      1.2548           21.9090      2329010.56
    18      1.2381           31.2123      2074121.78
    19      0.8550           13.6096       665582.22
