       F2ppm          F1ppm      Intensity 
     1  10.1071         190.8900      1431530.50
     2  7.1440          132.4601     19257292.50
     3  6.3729          134.4553      2900752.00
     4  6.3438          129.8026       331587.50
     5  6.1881          129.4711      7967732.50
     6  6.1653          137.1017      2455522.47
     7  5.9768          129.0355     20950849.50
     8  2.3336           13.1354      4936016.50
     9  2.0324           12.9581      5561570.00
    10  2.0324           33.1998     40479470.00
    11  1.7222           21.8022     65763102.00
    12  1.6218           19.2556     23871441.50
    13  1.4760           39.5115     34475126.50
    14  1.0381           28.8898    192919743.00
