             F2ppm           F1ppm     Intensity 
     1        5.3962          131.9331      8780795.50
     2        5.3915          130.4800     12319013.75
     3        5.3703          128.4684     23613227.50
     4        5.3432          128.1309     14905568.75
     5        5.3152          127.1454     10313584.25
     6        2.8094           25.5579     89102662.50
     7        2.8090           26.8835      1432873.00
     8        2.3402           33.9495     49395691.50
     9        2.0819           20.5789      1739942.47
    10        2.0549           27.2238      6569802.75
    11        1.6121           24.5627        73164.25
    12        1.3135           29.2130    102341895.22
    13        0.9354           14.2728      9584177.72
