            F2ppm           F1ppm      Intensity
     1       5.5140          128.1367      3364052.13
     2       5.4430          138.0897      1151331.69
     3       5.3728          129.4543      3456499.63
     4       5.3120          125.1512      1945087.31
     5       4.2111           66.3835      8179529.69
     6       3.8767           70.7085      4797570.00
     7       2.5922           53.7639      3926111.44
     8       2.4565           48.1301       185691.00
     9       2.2301           25.2193      2042165.63
    10       2.1872           32.9895      7371422.50
    11       2.1660           48.1314      -190612.03
    12       2.1345           25.2182      2451415.75
    13       2.0353           25.8826      6371809.88
    14       1.8652           47.7935      3089820.63
    15       1.5457           24.2213      5535869.75
    16       1.3660           37.1722       669098.13
    17       1.2668           24.5542       897404.63
    18       1.2440           21.9069      3847873.00
    19       1.2289           31.1922      3709769.81
    20       0.8471           13.6043      1355139.06
