            F2ppm           F1ppm    Intensity 
     1      5.2026           93.2827      3535350.75
     2      4.4696          105.5692      4555201.25
     3      3.9669           72.8678      1571972.75
     4      3.9595           62.7416       723205.75
     5      3.9244           71.1999      5673625.25
     6      3.8953           72.0367      2218128.50
     7      3.8485           62.7436       380625.25
     8      3.7542           63.7395      4930776.00
     9      3.7485           78.0140       500065.00
    10      3.7191           81.3336      1743360.00
    11      3.6669           75.0435      2788286.25
    12      3.5984           77.4949       960956.00
    13      3.5431           73.7024      2777064.25
    14      2.0358           24.5636      9124776.00
