             F2ppm          F1ppm       Intensity
     1        7.4027          136.0886      29534069.50
     2        6.1994           83.0104      17830095.63
     3        4.4819           75.0411       8688898.69
     4        4.0117           65.0718      15958403.69
     5        3.9773           65.0718       7225885.69
     6        3.4947           75.6996      12016593.31
     7        2.2693           34.5102       5039234.25
     8        2.1877           34.5102       9128990.06
     9        1.8113           11.9234       6121448.88
 
