       F2ppm           F1ppm       Intensity
     1  7.6638          131.8039     15178100.50
     2  6.7318          114.6923     10427022.50
     3  4.3148           58.7623      7112011.50
     4  3.5088           45.8209      2163249.50
     5  3.3292           50.4656      3897369.00
     6  3.2826           47.1489      9323437.50
     7  3.2004           45.8235      2643106.00
     8  2.3176           36.9847      7886421.50
     9  2.1569           31.2189      3280748.00
    10  2.0333           31.2182      3409520.00
